:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_LAYER_NAME",Message,"EDIT_LAYER_NAME","TEST_LAYERNAME","INIT","---","PVD2_Ta2O5 cond FAT","PVD1_Nb2O5_cond FAT","PVD3_SiO2_cond FAT","PBS_on FAT","Heating_FAT","cooling_FAT","PVD2_Ta2O5_FAT","PVD1_Nb2O5_FAT","PVD3_SiO2_FAT","PVD3_SiO2_FO","PVD3_SiO2_FO v02"
"EDIT_PRE_PVD2_Gas3_RT",Analog,"EDIT_PRE_PVD2_Gas3_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_RR",Analog,"EDIT_PRE_PVD2_Gas3_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_HT",Analog,"EDIT_PRE_PVD2_Gas3_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas3_HR",Analog,"EDIT_PRE_PVD2_Gas3_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_StVal",Analog,"EDIT_PRE_PVD2_Gas4_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_EnVal",Analog,"EDIT_PRE_PVD2_Gas4_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_RTp",Analog,"EDIT_PRE_PVD2_Gas4_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_RT",Analog,"EDIT_PRE_PVD2_Gas4_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_RR",Analog,"EDIT_PRE_PVD2_Gas4_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_HT",Analog,"EDIT_PRE_PVD2_Gas4_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Gas4_HR",Analog,"EDIT_PRE_PVD2_Gas4_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Sply_StVal",Analog,"EDIT_PRE_PVD2_Sply_StVal","","0","0","1000","0","1000","0","0","0","1000","0","1000","1000","1000"
"EDIT_PRE_PVD2_Sply_EnVal",Analog,"EDIT_PRE_PVD2_Sply_EnVal","","0","0","7000","0","500","0","0","0","2500","0","500","500","500"
"EDIT_PRE_PVD2_Sply_RTp",Analog,"EDIT_PRE_PVD2_Sply_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Sply_RT",Analog,"EDIT_PRE_PVD2_Sply_RT","","0","0","3","0","10","0","0","0","3","0","10","10","10"
"EDIT_PRE_PVD2_Sply_RR",Analog,"EDIT_PRE_PVD2_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Sply_HT",Analog,"EDIT_PRE_PVD2_Sply_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_Sply_HR",Analog,"EDIT_PRE_PVD2_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD2_SplyMode",Analog,"EDIT_PRE_PVD2_SplyMode","","0","0","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD2_SplyTAP",Analog,"EDIT_PRE_PVD2_SplyTAP","","0","0","2","1","1","1","1","1","2","1","1","1","1"
"EDIT_PRE_PVD2_SplyCtrlMode",Analog,"EDIT_PRE_PVD2_SplyCtrlMode","","0","0","1","1","1","1","1","1","2","1","1","1","1"
"EDIT_PRE_PVD2_PlasPrSl",Analog,"EDIT_PRE_PVD2_PlasPrSl","","0","0","2","1","1","1","1","1","2","1","1","1","1"
"EDIT_PRE_PVD3_LS_StVal",Analog,"EDIT_PRE_PVD3_LS_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_EnVal",Analog,"EDIT_PRE_PVD3_LS_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_RTp",Analog,"EDIT_PRE_PVD3_LS_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_RT",Analog,"EDIT_PRE_PVD3_LS_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_RR",Analog,"EDIT_PRE_PVD3_LS_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_HT",Analog,"EDIT_PRE_PVD3_LS_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LS_HR",Analog,"EDIT_PRE_PVD3_LS_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD3_LSVoltCtrlrOn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_LSCCtrlLoopMode",Analog,"EDIT_PRE_PVD3_LSCCtrlLoopMode","","1","1","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD3_Gas1_StVal",Analog,"EDIT_PRE_PVD3_Gas1_StVal","","0","0","0","0","50","0","0","0","0","0","50","50","50"
"EDIT_PRE_PVD3_Gas1_EnVal",Analog,"EDIT_PRE_PVD3_Gas1_EnVal","","0","0","0","0","35","0","0","0","0","0","35","35","35"
"EDIT_PRE_PVD3_Gas1_RTp",Analog,"EDIT_PRE_PVD3_Gas1_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas1_RT",Analog,"EDIT_PRE_PVD3_Gas1_RT","","0","0","0","0","3","0","0","0","0","0","3","3","3"
"EDIT_PRE_PVD3_Gas1_RR",Analog,"EDIT_PRE_PVD3_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas1_HT",Analog,"EDIT_PRE_PVD3_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas1_HR",Analog,"EDIT_PRE_PVD3_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_StVal",Analog,"EDIT_PRE_PVD3_Gas2_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_EnVal",Analog,"EDIT_PRE_PVD3_Gas2_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_RTp",Analog,"EDIT_PRE_PVD3_Gas2_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_RT",Analog,"EDIT_PRE_PVD3_Gas2_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_RR",Analog,"EDIT_PRE_PVD3_Gas2_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_HT",Analog,"EDIT_PRE_PVD3_Gas2_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas2_HR",Analog,"EDIT_PRE_PVD3_Gas2_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_StVal",Analog,"EDIT_PRE_PVD3_Gas3_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_EnVal",Analog,"EDIT_PRE_PVD3_Gas3_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_RTp",Analog,"EDIT_PRE_PVD3_Gas3_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_RT",Analog,"EDIT_PRE_PVD3_Gas3_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_RR",Analog,"EDIT_PRE_PVD3_Gas3_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_HT",Analog,"EDIT_PRE_PVD3_Gas3_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas3_HR",Analog,"EDIT_PRE_PVD3_Gas3_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_StVal",Analog,"EDIT_PRE_PVD3_Gas4_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_EnVal",Analog,"EDIT_PRE_PVD3_Gas4_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_RTp",Analog,"EDIT_PRE_PVD3_Gas4_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_RT",Analog,"EDIT_PRE_PVD3_Gas4_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_RR",Analog,"EDIT_PRE_PVD3_Gas4_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_HT",Analog,"EDIT_PRE_PVD3_Gas4_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Gas4_HR",Analog,"EDIT_PRE_PVD3_Gas4_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Sply_StVal",Analog,"EDIT_PRE_PVD3_Sply_StVal","","0","0","1000","0","1000","0","0","0","1000","0","1000","1000","1000"
"EDIT_PRE_PVD3_Sply_EnVal",Analog,"EDIT_PRE_PVD3_Sply_EnVal","","0","0","3500","0","500","0","0","0","3500","0","500","500","500"
"EDIT_PRE_PVD3_Sply_RTp",Analog,"EDIT_PRE_PVD3_Sply_RTp","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Sply_RT",Analog,"EDIT_PRE_PVD3_Sply_RT","","0","0","3","0","3","0","0","0","3","0","3","3","3"
"EDIT_PRE_PVD3_Sply_RR",Analog,"EDIT_PRE_PVD3_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Sply_HT",Analog,"EDIT_PRE_PVD3_Sply_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_Sply_HR",Analog,"EDIT_PRE_PVD3_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_PVD3_SplyMode",Analog,"EDIT_PRE_PVD3_SplyMode","","0","0","1","1","1","1","1","1","1","1","1","1","1"
"EDIT_PRE_PVD3_SplyTAP",Analog,"EDIT_PRE_PVD3_SplyTAP","","0","0","2","1","2","1","1","1","2","1","2","2","2"
"EDIT_PRE_PVD3_SplyCtrlMode",Analog,"EDIT_PRE_PVD3_SplyCtrlMode","","0","0","2","1","1","1","1","1","2","1","1","1","1"
"EDIT_PRE_PVD3_PlasPrSl",Analog,"EDIT_PRE_PVD3_PlasPrSl","","0","0","1","1","2","1","1","1","1","1","2","2","2"
"EDIT_PRE_TGC_TGNo",Analog,"EDIT_PRE_TGC_TGNo","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_MeasMode",Analog,"EDIT_PRE_WBM_MeasMode","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_LayerNo",Analog,"EDIT_PRE_WBM_LayerNo","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_ACP",Analog,"EDIT_PRE_WBM_ACP","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_SaveCount",Analog,"EDIT_PRE_WBM_SaveCount","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_SaveInit",Analog,"EDIT_PRE_WBM_SaveInit","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_Autoscaling",Analog,"EDIT_PRE_WBM_Autoscaling","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_InitThickSel",Analog,"EDIT_PRE_WBM_InitThickSel","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PRE_WBM_InitThick",Analog,"EDIT_PRE_WBM_InitThick","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_ProcType",Analog,"EDIT_PP_ProcType","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PhsTime",Analog,"EDIT_PP_PhsTime","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PhsRounds",Analog,"EDIT_PP_PhsRounds","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_MaxTimePhs",Analog,"EDIT_PP_MaxTimePhs","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_RateCtrlStartThickCalc",Analog,"EDIT_PP_RateCtrlStartThickCalc","","0","0","0","0","3","0","0","0","0","0","3","3","3"
"EDIT_PP_RateCtrlStartTimeCalc",Analog,"EDIT_PP_RateCtrlStartTimeCalc","","0","0","0","0","30","0","0","0","0","0","30","20","20"
"EDIT_PP_RateCtrlEn",Analog,"EDIT_PP_RateCtrlEn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_RateCtrlNoVals",Analog,"EDIT_PP_RateCtrlNoVals","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_ProfileContMode",Analog,"EDIT_PP_ProfileContMode","","0","0","0","0","2","0","0","0","2","0","2","2","2"
"EDIT_PP_PBS_MBoxPosC1",Analog,"EDIT_PP_PBS_MBoxPosC1","","0","0","22","20","22","22","23","23","22","20","20","20","20"
"EDIT_PP_PBS_MBoxPosC2",Analog,"EDIT_PP_PBS_MBoxPosC2","","0","0","71.5","75","75","71.5","74","74","73.5","74.5","73","73","73"
"EDIT_PP_PBS_MBoxPosC3",Analog,"EDIT_PP_PBS_MBoxPosC3","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas1_StVal",Analog,"EDIT_PP_PBS_Phs1_Gas1_StVal","","0","0","0","0","15","0","0","0","0","0","15","15","15"
"EDIT_PP_PBS_Phs1_Gas1_EnVal",Analog,"EDIT_PP_PBS_Phs1_Gas1_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas1_REn",Discrete,"EDIT_PP_PBS_Phs1_Gas1_REn","","0","0","0","0","1","0","0","0","0","0","1","1","1"
"EDIT_PP_PBS_Phs1_Gas1_RT",Analog,"EDIT_PP_PBS_Phs1_Gas1_RT","","0","0","0","0","5","0","0","0","0","0","5","5","5"
"EDIT_PP_PBS_Phs1_Gas1_RR",Analog,"EDIT_PP_PBS_Phs1_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas1_HT",Analog,"EDIT_PP_PBS_Phs1_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas1_HR",Analog,"EDIT_PP_PBS_Phs1_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas2_StVal",Analog,"EDIT_PP_PBS_Phs1_Gas2_StVal","","0","0","0","0","4","0","0","0","0","0","4","4","4"
"EDIT_PP_PBS_Phs1_Gas2_EnVal",Analog,"EDIT_PP_PBS_Phs1_Gas2_EnVal","","0","0","0","0","15","0","0","0","0","0","15","15","15"
"EDIT_PP_PBS_Phs1_Gas2_REn",Discrete,"EDIT_PP_PBS_Phs1_Gas2_REn","","0","0","0","0","1","0","0","0","0","0","1","1","1"
"EDIT_PP_PBS_Phs1_Gas2_RT",Analog,"EDIT_PP_PBS_Phs1_Gas2_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas2_RR",Analog,"EDIT_PP_PBS_Phs1_Gas2_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas2_HT",Analog,"EDIT_PP_PBS_Phs1_Gas2_HT","","0","0","0","0","20","0","0","0","0","0","20","5","5"
"EDIT_PP_PBS_Phs1_Gas2_HR",Analog,"EDIT_PP_PBS_Phs1_Gas2_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_StVal",Analog,"EDIT_PP_PBS_Phs1_Gas3_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_EnVal",Analog,"EDIT_PP_PBS_Phs1_Gas3_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_REn",Discrete,"EDIT_PP_PBS_Phs1_Gas3_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_RT",Analog,"EDIT_PP_PBS_Phs1_Gas3_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_RR",Analog,"EDIT_PP_PBS_Phs1_Gas3_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_HT",Analog,"EDIT_PP_PBS_Phs1_Gas3_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas3_HR",Analog,"EDIT_PP_PBS_Phs1_Gas3_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_StVal",Analog,"EDIT_PP_PBS_Phs1_Gas4_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_EnVal",Analog,"EDIT_PP_PBS_Phs1_Gas4_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_REn",Discrete,"EDIT_PP_PBS_Phs1_Gas4_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_RT",Analog,"EDIT_PP_PBS_Phs1_Gas4_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_RR",Analog,"EDIT_PP_PBS_Phs1_Gas4_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_HT",Analog,"EDIT_PP_PBS_Phs1_Gas4_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Gas4_HR",Analog,"EDIT_PP_PBS_Phs1_Gas4_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Sply_StVal",Analog,"EDIT_PP_PBS_Phs1_Sply_StVal","","0","0","0","0","2000","0","0","0","0","0","2000","2000","2000"
"EDIT_PP_PBS_Phs1_Sply_EnVal",Analog,"EDIT_PP_PBS_Phs1_Sply_EnVal","","0","0","0","0","2000","0","0","0","0","0","2000","2000","2000"
"EDIT_PP_PBS_Phs1_Sply_REn",Discrete,"EDIT_PP_PBS_Phs1_Sply_REn","","0","0","0","0","1","0","0","0","0","0","1","1","1"
"EDIT_PP_PBS_Phs1_Sply_RT",Analog,"EDIT_PP_PBS_Phs1_Sply_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Sply_RR",Analog,"EDIT_PP_PBS_Phs1_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs1_Sply_HT",Analog,"EDIT_PP_PBS_Phs1_Sply_HT","","0","0","0","0","20","0","0","0","0","0","20","5","5"
"EDIT_PP_PBS_Phs1_Sply_HR",Analog,"EDIT_PP_PBS_Phs1_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_StVal",Analog,"EDIT_PP_PBS_Phs2_Gas1_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_EnVal",Analog,"EDIT_PP_PBS_Phs2_Gas1_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_REn",Discrete,"EDIT_PP_PBS_Phs2_Gas1_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_RT",Analog,"EDIT_PP_PBS_Phs2_Gas1_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_RR",Analog,"EDIT_PP_PBS_Phs2_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_HT",Analog,"EDIT_PP_PBS_Phs2_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas1_HR",Analog,"EDIT_PP_PBS_Phs2_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas2_StVal",Analog,"EDIT_PP_PBS_Phs2_Gas2_StVal","","0","0","0","0","15","0","0","0","0","0","15","15","15"
"EDIT_PP_PBS_Phs2_Gas2_EnVal",Analog,"EDIT_PP_PBS_Phs2_Gas2_EnVal","","0","0","0","0","35","0","0","0","0","0","35","35","35"
"EDIT_PP_PBS_Phs2_Gas2_REn",Discrete,"EDIT_PP_PBS_Phs2_Gas2_REn","","0","0","0","0","1","0","0","0","0","0","1","1","1"
"EDIT_PP_PBS_Phs2_Gas2_RT",Analog,"EDIT_PP_PBS_Phs2_Gas2_RT","","0","0","0","0","10","0","0","0","0","0","10","10","10"
"EDIT_PP_PBS_Phs2_Gas2_RR",Analog,"EDIT_PP_PBS_Phs2_Gas2_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas2_HT",Analog,"EDIT_PP_PBS_Phs2_Gas2_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas2_HR",Analog,"EDIT_PP_PBS_Phs2_Gas2_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_StVal",Analog,"EDIT_PP_PBS_Phs2_Gas3_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_EnVal",Analog,"EDIT_PP_PBS_Phs2_Gas3_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_REn",Discrete,"EDIT_PP_PBS_Phs2_Gas3_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_RT",Analog,"EDIT_PP_PBS_Phs2_Gas3_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_RR",Analog,"EDIT_PP_PBS_Phs2_Gas3_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_HT",Analog,"EDIT_PP_PBS_Phs2_Gas3_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas3_HR",Analog,"EDIT_PP_PBS_Phs2_Gas3_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_StVal",Analog,"EDIT_PP_PBS_Phs2_Gas4_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_EnVal",Analog,"EDIT_PP_PBS_Phs2_Gas4_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_REn",Discrete,"EDIT_PP_PBS_Phs2_Gas4_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_RT",Analog,"EDIT_PP_PBS_Phs2_Gas4_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_RR",Analog,"EDIT_PP_PBS_Phs2_Gas4_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_HT",Analog,"EDIT_PP_PBS_Phs2_Gas4_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Gas4_HR",Analog,"EDIT_PP_PBS_Phs2_Gas4_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Sply_StVal",Analog,"EDIT_PP_PBS_Phs2_Sply_StVal","","0","0","0","0","2000","0","0","0","0","0","2000","2000","2000"
"EDIT_PP_PBS_Phs2_Sply_EnVal",Analog,"EDIT_PP_PBS_Phs2_Sply_EnVal","","0","0","0","0","2500","0","0","0","0","0","2500","2500","2500"
"EDIT_PP_PBS_Phs2_Sply_REn",Discrete,"EDIT_PP_PBS_Phs2_Sply_REn","","0","0","0","0","1","0","0","0","0","0","1","1","1"
"EDIT_PP_PBS_Phs2_Sply_RT",Analog,"EDIT_PP_PBS_Phs2_Sply_RT","","0","0","0","0","10","0","0","0","0","0","10","10","10"
"EDIT_PP_PBS_Phs2_Sply_RR",Analog,"EDIT_PP_PBS_Phs2_Sply_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Sply_HT",Analog,"EDIT_PP_PBS_Phs2_Sply_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs2_Sply_HR",Analog,"EDIT_PP_PBS_Phs2_Sply_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_StVal",Analog,"EDIT_PP_PBS_Phs3_Gas1_StVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_EnVal",Analog,"EDIT_PP_PBS_Phs3_Gas1_EnVal","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_REn",Discrete,"EDIT_PP_PBS_Phs3_Gas1_REn","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_RT",Analog,"EDIT_PP_PBS_Phs3_Gas1_RT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_RR",Analog,"EDIT_PP_PBS_Phs3_Gas1_RR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_HT",Analog,"EDIT_PP_PBS_Phs3_Gas1_HT","","0","0","0","0","0","0","0","0","0","0","0","0","0"
"EDIT_PP_PBS_Phs3_Gas1_HR",Analog,"EDIT_PP_PBS_Phs3_Gas1_HR","","0","0","0","0","0","0","0","0","0","0","0","0","0"
