:IngredientName,IngredientType,Unit,Unit,Recipe,Recipe,Recipe,Recipe,Recipe,Recipe
:Names,,"EDIT","TEST","INIT","---","PVD1_Nb2O5_0.1","TEST1","TEST2","TEST3"
"EDIT_PRE_PVD1_LS_RTp",Analog,"EDIT_PRE_PVD1_LS_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_LS_RT",Analog,"EDIT_PRE_PVD1_LS_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_LS_RR",Analog,"EDIT_PRE_PVD1_LS_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_LS_HT",Analog,"EDIT_PRE_PVD1_LS_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_LS_HR",Analog,"EDIT_PRE_PVD1_LS_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD1_LSVoltCtrlrOn","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_StVal",Analog,"EDIT_PRE_PVD1_Gas1_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_EnVal",Analog,"EDIT_PRE_PVD1_Gas1_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_RTp",Analog,"EDIT_PRE_PVD1_Gas1_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_RT",Analog,"EDIT_PRE_PVD1_Gas1_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_RR",Analog,"EDIT_PRE_PVD1_Gas1_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_HT",Analog,"EDIT_PRE_PVD1_Gas1_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas1_HR",Analog,"EDIT_PRE_PVD1_Gas1_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas2_StVal",Analog,"EDIT_PRE_PVD1_Gas2_StVal","",0,0,0,1,0,0
"EDIT_PRE_PVD1_Gas2_EnVal",Analog,"EDIT_PRE_PVD1_Gas2_EnVal","",0,0,0,2,0,0
"EDIT_PRE_PVD1_Gas2_RTp",Analog,"EDIT_PRE_PVD1_Gas2_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas2_RT",Analog,"EDIT_PRE_PVD1_Gas2_RT","",0,0,0,3,0,0
"EDIT_PRE_PVD1_Gas2_RR",Analog,"EDIT_PRE_PVD1_Gas2_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas2_HT",Analog,"EDIT_PRE_PVD1_Gas2_HT","",0,0,0,4,0,0
"EDIT_PRE_PVD1_Gas2_HR",Analog,"EDIT_PRE_PVD1_Gas2_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_StVal",Analog,"EDIT_PRE_PVD1_Gas3_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_EnVal",Analog,"EDIT_PRE_PVD1_Gas3_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_RTp",Analog,"EDIT_PRE_PVD1_Gas3_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_RT",Analog,"EDIT_PRE_PVD1_Gas3_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_RR",Analog,"EDIT_PRE_PVD1_Gas3_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_HT",Analog,"EDIT_PRE_PVD1_Gas3_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas3_HR",Analog,"EDIT_PRE_PVD1_Gas3_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_StVal",Analog,"EDIT_PRE_PVD1_Gas4_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_EnVal",Analog,"EDIT_PRE_PVD1_Gas4_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_RTp",Analog,"EDIT_PRE_PVD1_Gas4_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_RT",Analog,"EDIT_PRE_PVD1_Gas4_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_RR",Analog,"EDIT_PRE_PVD1_Gas4_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_HT",Analog,"EDIT_PRE_PVD1_Gas4_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Gas4_HR",Analog,"EDIT_PRE_PVD1_Gas4_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_StVal",Analog,"EDIT_PRE_PVD1_Sply_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_EnVal",Analog,"EDIT_PRE_PVD1_Sply_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_RTp",Analog,"EDIT_PRE_PVD1_Sply_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_RT",Analog,"EDIT_PRE_PVD1_Sply_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_RR",Analog,"EDIT_PRE_PVD1_Sply_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_HT",Analog,"EDIT_PRE_PVD1_Sply_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD1_Sply_HR",Analog,"EDIT_PRE_PVD1_Sply_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD1_SplyMode",Analog,"EDIT_PRE_PVD1_SplyMode","",0,0,1,1,1,1
"EDIT_PRE_PVD1_SplyTAP",Analog,"EDIT_PRE_PVD1_SplyTAP","",0,0,1,1,1,1
"EDIT_PRE_PVD1_SplyCtrlMode",Analog,"EDIT_PRE_PVD1_SplyCtrlMode","",0,0,1,1,1,1
"EDIT_PRE_PVD1_PlasPrSl",Analog,"EDIT_PRE_PVD1_PlasPrSl","",0,0,1,2,1,1
"EDIT_PRE_PVD2_LS_StVal",Analog,"EDIT_PRE_PVD2_LS_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_EnVal",Analog,"EDIT_PRE_PVD2_LS_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_RTp",Analog,"EDIT_PRE_PVD2_LS_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_RT",Analog,"EDIT_PRE_PVD2_LS_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_RR",Analog,"EDIT_PRE_PVD2_LS_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_HT",Analog,"EDIT_PRE_PVD2_LS_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LS_HR",Analog,"EDIT_PRE_PVD2_LS_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD2_LSVoltCtrlrOn","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_StVal",Analog,"EDIT_PRE_PVD2_Gas1_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_EnVal",Analog,"EDIT_PRE_PVD2_Gas1_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_RTp",Analog,"EDIT_PRE_PVD2_Gas1_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_RT",Analog,"EDIT_PRE_PVD2_Gas1_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_RR",Analog,"EDIT_PRE_PVD2_Gas1_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_HT",Analog,"EDIT_PRE_PVD2_Gas1_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas1_HR",Analog,"EDIT_PRE_PVD2_Gas1_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas2_StVal",Analog,"EDIT_PRE_PVD2_Gas2_StVal","",0,0,0,5,0,0
"EDIT_PRE_PVD2_Gas2_EnVal",Analog,"EDIT_PRE_PVD2_Gas2_EnVal","",0,0,0,6,0,0
"EDIT_PRE_PVD2_Gas2_RTp",Analog,"EDIT_PRE_PVD2_Gas2_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas2_RT",Analog,"EDIT_PRE_PVD2_Gas2_RT","",0,0,0,7,0,0
"EDIT_PRE_PVD2_Gas2_RR",Analog,"EDIT_PRE_PVD2_Gas2_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas2_HT",Analog,"EDIT_PRE_PVD2_Gas2_HT","",0,0,0,8,0,0
"EDIT_PRE_PVD2_Gas2_HR",Analog,"EDIT_PRE_PVD2_Gas2_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_StVal",Analog,"EDIT_PRE_PVD2_Gas3_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_EnVal",Analog,"EDIT_PRE_PVD2_Gas3_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_RTp",Analog,"EDIT_PRE_PVD2_Gas3_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_RT",Analog,"EDIT_PRE_PVD2_Gas3_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_RR",Analog,"EDIT_PRE_PVD2_Gas3_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_HT",Analog,"EDIT_PRE_PVD2_Gas3_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas3_HR",Analog,"EDIT_PRE_PVD2_Gas3_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_StVal",Analog,"EDIT_PRE_PVD2_Gas4_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_EnVal",Analog,"EDIT_PRE_PVD2_Gas4_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_RTp",Analog,"EDIT_PRE_PVD2_Gas4_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_RT",Analog,"EDIT_PRE_PVD2_Gas4_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_RR",Analog,"EDIT_PRE_PVD2_Gas4_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_HT",Analog,"EDIT_PRE_PVD2_Gas4_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Gas4_HR",Analog,"EDIT_PRE_PVD2_Gas4_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_StVal",Analog,"EDIT_PRE_PVD2_Sply_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_EnVal",Analog,"EDIT_PRE_PVD2_Sply_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_RTp",Analog,"EDIT_PRE_PVD2_Sply_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_RT",Analog,"EDIT_PRE_PVD2_Sply_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_RR",Analog,"EDIT_PRE_PVD2_Sply_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_HT",Analog,"EDIT_PRE_PVD2_Sply_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD2_Sply_HR",Analog,"EDIT_PRE_PVD2_Sply_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD2_SplyMode",Analog,"EDIT_PRE_PVD2_SplyMode","",0,0,1,1,1,1
"EDIT_PRE_PVD2_SplyTAP",Analog,"EDIT_PRE_PVD2_SplyTAP","",0,0,1,1,1,1
"EDIT_PRE_PVD2_SplyCtrlMode",Analog,"EDIT_PRE_PVD2_SplyCtrlMode","",0,0,1,1,1,1
"EDIT_PRE_PVD2_PlasPrSl",Analog,"EDIT_PRE_PVD2_PlasPrSl","",0,0,1,2,1,1
"EDIT_PRE_PVD3_LS_StVal",Analog,"EDIT_PRE_PVD3_LS_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_EnVal",Analog,"EDIT_PRE_PVD3_LS_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_RTp",Analog,"EDIT_PRE_PVD3_LS_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_RT",Analog,"EDIT_PRE_PVD3_LS_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_RR",Analog,"EDIT_PRE_PVD3_LS_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_HT",Analog,"EDIT_PRE_PVD3_LS_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LS_HR",Analog,"EDIT_PRE_PVD3_LS_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_LSVoltCtrlrOn",Analog,"EDIT_PRE_PVD3_LSVoltCtrlrOn","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_StVal",Analog,"EDIT_PRE_PVD3_Gas1_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_EnVal",Analog,"EDIT_PRE_PVD3_Gas1_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_RTp",Analog,"EDIT_PRE_PVD3_Gas1_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_RT",Analog,"EDIT_PRE_PVD3_Gas1_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_RR",Analog,"EDIT_PRE_PVD3_Gas1_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_HT",Analog,"EDIT_PRE_PVD3_Gas1_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas1_HR",Analog,"EDIT_PRE_PVD3_Gas1_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_StVal",Analog,"EDIT_PRE_PVD3_Gas2_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_EnVal",Analog,"EDIT_PRE_PVD3_Gas2_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_RTp",Analog,"EDIT_PRE_PVD3_Gas2_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_RT",Analog,"EDIT_PRE_PVD3_Gas2_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_RR",Analog,"EDIT_PRE_PVD3_Gas2_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_HT",Analog,"EDIT_PRE_PVD3_Gas2_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas2_HR",Analog,"EDIT_PRE_PVD3_Gas2_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_StVal",Analog,"EDIT_PRE_PVD3_Gas3_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_EnVal",Analog,"EDIT_PRE_PVD3_Gas3_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_RTp",Analog,"EDIT_PRE_PVD3_Gas3_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_RT",Analog,"EDIT_PRE_PVD3_Gas3_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_RR",Analog,"EDIT_PRE_PVD3_Gas3_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_HT",Analog,"EDIT_PRE_PVD3_Gas3_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas3_HR",Analog,"EDIT_PRE_PVD3_Gas3_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_StVal",Analog,"EDIT_PRE_PVD3_Gas4_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_EnVal",Analog,"EDIT_PRE_PVD3_Gas4_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_RTp",Analog,"EDIT_PRE_PVD3_Gas4_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_RT",Analog,"EDIT_PRE_PVD3_Gas4_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_RR",Analog,"EDIT_PRE_PVD3_Gas4_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_HT",Analog,"EDIT_PRE_PVD3_Gas4_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Gas4_HR",Analog,"EDIT_PRE_PVD3_Gas4_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_StVal",Analog,"EDIT_PRE_PVD3_Sply_StVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_EnVal",Analog,"EDIT_PRE_PVD3_Sply_EnVal","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_RTp",Analog,"EDIT_PRE_PVD3_Sply_RTp","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_RT",Analog,"EDIT_PRE_PVD3_Sply_RT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_RR",Analog,"EDIT_PRE_PVD3_Sply_RR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_HT",Analog,"EDIT_PRE_PVD3_Sply_HT","",0,0,0,0,0,0
"EDIT_PRE_PVD3_Sply_HR",Analog,"EDIT_PRE_PVD3_Sply_HR","",0,0,0,0,0,0
"EDIT_PRE_PVD3_SplyMode",Analog,"EDIT_PRE_PVD3_SplyMode","",0,0,1,3,1,1
"EDIT_PRE_PVD3_SplyTAP",Analog,"EDIT_PRE_PVD3_SplyTAP","",0,0,1,1,1,1
"EDIT_PRE_PVD3_SplyCtrlMode",Analog,"EDIT_PRE_PVD3_SplyCtrlMode","",0,0,1,1,1,1
"EDIT_PRE_PVD3_PlasPrSl",Analog,"EDIT_PRE_PVD3_PlasPrSl","",0,0,1,2,1,1
"EDIT_PRE_TGC_TGNo",Analog,"EDIT_PRE_TGC_TGNo","",0,0,0,0,0,0
"EDIT_PRE_WBM_MeasMode",Analog,"EDIT_PRE_WBM_MeasMode","",0,0,0,0,0,0
"EDIT_PRE_WBM_LayerNo",Analog,"EDIT_PRE_WBM_LayerNo","",0,0,0,0,0,0
"EDIT_PRE_WBM_ACP",Analog,"EDIT_PRE_WBM_ACP","",0,0,0,0,0,0
"EDIT_PRE_WBM_SaveCount",Analog,"EDIT_PRE_WBM_SaveCount","",0,0,0,0,0,0
"EDIT_PRE_WBM_SaveInit",Analog,"EDIT_PRE_WBM_SaveInit","",0,0,0,0,0,0
"EDIT_PRE_WBM_Autoscaling",Analog,"EDIT_PRE_WBM_Autoscaling","",0,0,0,0,0,0
"EDIT_PRE_WBM_InitThickSel",Analog,"EDIT_PRE_WBM_InitThickSel","",0,0,0,0,0,0
"EDIT_PRE_WBM_InitThick",Analog,"EDIT_PRE_WBM_InitThick","",0,0,0,0,0,0
"EDIT_PP_ProcType",Analog,"EDIT_PP_ProcType","",0,0,0,0,0,0
"EDIT_PP_PhsTime",Analog,"EDIT_PP_PhsTime","",0,0,0,0,0,0
"EDIT_PP_PhsRounds",Analog,"EDIT_PP_PhsRounds","",0,0,0,0,0,0
"EDIT_PP_MaxTimePhs",Analog,"EDIT_PP_MaxTimePhs","",0,0,0,0,0,0
"EDIT_PP_RateCtrlStartThickCalc",Analog,"EDIT_PP_RateCtrlStartThickCalc","",0,0,0,0,0,0
"EDIT_PP_RateCtrlStartTimeCalc",Analog,"EDIT_PP_RateCtrlStartTimeCalc","",0,0,0,0,0,0
"EDIT_PP_RateCtrlEn",Analog,"EDIT_PP_RateCtrlEn","",0,0,0,0,0,0
"EDIT_PP_RateCtrlNoVals",Analog,"EDIT_PP_RateCtrlNoVals","",0,0,0,0,0,0
"EDIT_PP_ProfileContMode",Analog,"EDIT_PP_ProfileContMode","",0,0,0,0,0,0
"EDIT_PP_PBS_MBoxPosC1",Analog,"EDIT_PP_PBS_MBoxPosC1","",0,0,0,0,0,0
"EDIT_PP_PBS_MBoxPosC2",Analog,"EDIT_PP_PBS_MBoxPosC2","",0,0,0,0,0,0
"EDIT_PP_PBS_MBoxPosC3",Analog,"EDIT_PP_PBS_MBoxPosC3","",0,0,0,0,0,0
"EDIT_PP_PBS_Phs1_Gas1_StVal",Analog,"EDIT_PP_PBS_Phs1_Gas1_StVal","",0,0,0,0,0,0
